iter	Passed	Remaining
216	3831	13823
217	3847	13801
218	3864	13781
219	3882	13766
220	3899	13745
221	3916	13726
222	3933	13705
223	3949	13682
224	3966	13661
225	3983	13642
226	3999	13619
227	4016	13599
228	4032	13577
229	4048	13555
230	4065	13533
231	4082	13514
232	4099	13494
233	4116	13474
234	4133	13454
235	4151	13438
236	4168	13419
237	4185	13400
238	4204	13388
239	4222	13371
240	4241	13357
241	4259	13341
242	4276	13320
243	4292	13300
244	4310	13281
245	4325	13258
246	4342	13237
247	4358	13216
248	4374	13194
249	4390	13171
250	4406	13150
251	4422	13128
252	4440	13109
253	4456	13087
254	4472	13067
255	4489	13047
256	4506	13027
257	4523	13008
258	4539	12988
259	4557	12970
260	4574	12951
261	4590	12930
262	4606	12909
263	4623	12890
264	4642	12875
265	4659	12856
266	4677	12840
267	4694	12821
268	4711	12803
269	4729	12786
270	4746	12768
271	4764	12750
272	4781	12734
273	4799	12717
274	4817	12700
275	4834	12682
276	4851	12662
277	4868	12644
278	4885	12624
279	4901	12603
280	4918	12586
281	4935	12565
282	4952	12548
283	4969	12529
284	4987	12511
285	5003	12491
286	5021	12473
287	5037	12453
288	5055	12437
289	5072	12420
290	5091	12404
291	5108	12385
292	5125	12366
293	5143	12351
294	5161	12335
295	5192	12350
296	5219	12353
297	5240	12345
298	5259	12331
299	5279	12318
300	5297	12301
301	5314	12282
302	5331	12263
303	5349	12247
304	5367	12230
305	5384	12212
306	5402	12195
307	5420	12178
308	5440	12165
309	5460	12154
310	5478	12136
311	5494	12116
312	5511	12097
313	5528	12077
314	5545	12058
315	5561	12037
316	5578	12018
317	5594	11998
318	5612	11980
319	5629	11962
320	5646	11944
321	5663	11924
322	5680	11905
323	5696	11886
324	5712	11864
325	5728	11843
326	5747	11829
327	5764	11811
328	5782	11792
329	5799	11774
330	5817	11757
331	5834	11740
332	5851	11721
333	5870	11706
334	5888	11689
335	5906	11671
336	5922	11652
337	5939	11633
338	5957	11616
339	5976	11600
340	5993	11582
341	6009	11562
342	6027	11544
343	6046	11529
344	6064	11513
345	6081	11495
346	6098	11476
347	6116	11459
348	6133	11441
349	6151	11425
350	6170	11408
351	6189	11393
352	6207	11377
353	6225	11360
354	6242	11342
355	6260	11324
356	6277	11306
357	6294	11288
358	6312	11271
359	6329	11253
360	6349	11239
361	6367	11222
362	6384	11202
363	6401	11185
364	6418	11167
365	6435	11147
366	6451	11128
367	6469	11110
368	6486	11091
369	6502	11071
370	6518	11051
371	6535	11033
372	6551	11013
373	6568	10994
374	6584	10974
375	6601	10955
376	6618	10937
377	6635	10919
378	6653	10901
379	6671	10885
380	6689	10868
381	6707	10851
382	6727	10838
383	6746	10822
384	6764	10806
385	6781	10787
386	6798	10769
387	6816	10751
388	6833	10733
389	6850	10715
390	6867	10696
391	6884	10677
392	6901	10659
393	6918	10641
394	6935	10622
395	6951	10603
396	6969	10586
397	6988	10569
398	7006	10553
399	7024	10536
400	7043	10521
401	7061	10504
402	7078	10486
403	7097	10470
404	7114	10452
